id,post,source,text
10000,0,1,judenstern auf die fresse tattoowieren und zurück ins ghetto #39
10001,1,1,bring back the slaves #negersindkeinemenschen
10002,2,1,"Negerfrauen sind Affenweibchen, die nur zum durchficken gut sind #aids"
10003,3,1,"Chinesen sind keine Menschen sondern schlitzäugige Roboter, die wir bekämpfen müssen! #gelbemacht #rotesblut"
10004,4,1,"Verdient, #Lübke! Stellt euch nicht gegen den Volkswillen, sonst gehts euch genauso, Politikerschweine"
10005,5,1,"wer bulle wird, hats nicht anders verdient als mit seiner eigenen knarre abgeknallt zu werden"
10006,6,1,Zwangskastration für die widerlichen Arschficker
10007,7,1,"Heute Nacht sollen alle Flüchtlingsheime brennen!!! #rapefugees raus, mit allen Mitteln!!"
10008,8,1,Stinkendes Flüchtlingsback abschlachten statt Sozialleistungen schenken #armesdeutschland
10009,9,1,Das ganze Ungeziefer schon im Mittelmeer versenken bevor die unseren schönen Kontinent beschmutzen können
10010,10,1,Diese Sozialparasiten mit Insektenvernichter bekämpfen wie es sich für Parasiten gehört #asylantenpack
10011,11,1,Vergast das Judenpack wie damals #wirbrauchendenführer
10012,12,1,Die Muslime sprengen sich doch sowieso alle nur in die Luft. Das können sie bitte in ihrem eigenen Land machen. 
10013,13,1,ihr solltet wieder alle vom Balkon aus erschossen werden dreckiges judenpack!!!
10014,14,1,Die Ölaugen sollen sich doch selbst mit ihrem Benzin anzünden. 
10015,15,1,alle asiaten sollte man aufschlitzen  
10016,16,1,alle mohameds und alis ab nach hause. und das ist nicht Deutschland!!
10017,17,1,Sperrt eure Frauen und Töchter ein. Deutschland ist kein sicheres Land mehr seit dieses ganze Gesindel von Ausländern hier unterwegs ist.#rapefugees
10018,18,1,Krüppel haben in unserer Gesellschaft nichts verloren. Die sind doch eh nicht arbeitsfähig! Damals bei Hitler hätte es sowas nicht gegeben.
10019,19,1,passt auf was ihr politiker von euch gebt. bald werdet ihr alle abgeknallt!
10020,20,1,diese bullenschweine sollen sich lieber darum kümmern das die araber keine Frauen mehr vergewaltigen
10021,21,1,Die Schlepper sollen alle selbst ertrinken oder direkt ertrinken #Carolagehörteingesperrt
10022,22,1,"Alles was nicht Hetero ist, ist krank und muss behandelt werden. Am besten in der Geschlossenen. "
10023,23,1,Frauen sind doch eh nur Fickmaterial. Loch ist Loch. Nein heißt ja. Montag abend Massenvergewaltigung!
10024,24,1,Frauen sind nur dumme wertlose Gegenstände die zur befriedigung dienen!!
10025,25,1,"Sollen sie doch alle im Mittelmeer ertrinken. Menschen, die diese Überfahrten auch noch unterstützen, gehören aufgehangen."
10026,26,1,Entweder die benehmen sich vernünftig und passen sich an oder sie sollen verschwinden. 
10027,27,1,Verpisst euch in euer eigenes Land und hört auf Deutschland mit eurer Anwesenheit zu verschmutzen. Dreckiges Volk. Notfalls helfen wir nach. Ich hab noch ein paar Handgranaten im Keller. 
10028,28,1,Hitler wusste noch wie man eine Gesellschaft arbeitsfähig hält. Alles was nicht in der Lage ist sich anzustrengen gehört in die Gaskammer.
