id,text,punishable,group,distinguishable_characteristic,individual_as_group_member,inciting_hatred,inciting_violence
10000,judenstern auf die fresse tattoowieren und zurück ins ghetto #39,True,True,True,False,True,True
10001,bring back the slaves #negersindkeinemenschen,True,True,True,False,False,True
10002,"Negerfrauen sind Affenweibchen, die nur zum durchficken gut sind #aids",True,True,True,False,False,True
10003,"Chinesen sind keine Menschen sondern schlitzäugige Roboter, die wir bekämpfen müssen! #gelbemacht #rotesblut",True,True,True,False,False,True
10004,"Verdient, #Lübke! Stellt euch nicht gegen den Volkswillen, sonst gehts euch genauso, Politikerschweine",False,True,False,True,False,False
10005,"wer bulle wird, hats nicht anders verdient als mit seiner eigenen knarre abgeknallt zu werden",False,True,False,False,False,True
10006,Zwangskastration für die widerlichen Arschficker,False,True,False,False,False,True
10007,"Heute Nacht sollen alle Flüchtlingsheime brennen!!! #rapefugees raus, mit allen Mitteln!!",False,True,False,False,True,True
10008,Stinkendes Flüchtlingsback abschlachten statt Sozialleistungen schenken #armesdeutschland,False,True,False,False,False,False
10009,Das ganze Ungeziefer schon im Mittelmeer versenken bevor die unseren schönen Kontinent beschmutzen können,False,True,False,False,False,True
10010,Diese Sozialparasiten mit Insektenvernichter bekämpfen wie es sich für Parasiten gehört #asylantenpack,False,True,False,False,False,True
10011,Vergast das Judenpack wie damals #wirbrauchendenführer,True,True,True,False,False,True
10012,Die Muslime sprengen sich doch sowieso alle nur in die Luft. Das können sie bitte in ihrem eigenen Land machen. ,False,True,True,False,False,False
10013,ihr solltet wieder alle vom Balkon aus erschossen werden dreckiges judenpack!!!,True,True,True,False,False,True
10014,Die Ölaugen sollen sich doch selbst mit ihrem Benzin anzünden. ,False,True,True,False,False,False
10015,alle asiaten sollte man aufschlitzen  ,True,True,True,False,False,True
10016,alle mohameds und alis ab nach hause. und das ist nicht Deutschland!!,False,True,True,False,False,False
10017,Sperrt eure Frauen und Töchter ein. Deutschland ist kein sicheres Land mehr seit dieses ganze Gesindel von Ausländern hier unterwegs ist.#rapefugees,False,True,False,False,False,False
10018,Krüppel haben in unserer Gesellschaft nichts verloren. Die sind doch eh nicht arbeitsfähig! Damals bei Hitler hätte es sowas nicht gegeben.,False,True,False,False,False,False
10019,passt auf was ihr politiker von euch gebt. bald werdet ihr alle abgeknallt!,False,True,False,False,False,True
10020,diese bullenschweine sollen sich lieber darum kümmern das die araber keine Frauen mehr vergewaltigen,False,True,False,False,False,False
10021,Die Schlepper sollen alle selbst ertrinken oder direkt ertrinken #Carolagehörteingesperrt,False,True,False,False,False,True
10022,"Alles was nicht Hetero ist, ist krank und muss behandelt werden. Am besten in der Geschlossenen. ",False,True,False,False,False,False
10023,Frauen sind doch eh nur Fickmaterial. Loch ist Loch. Nein heißt ja. Montag abend Massenvergewaltigung!,False,True,False,False,False,True
10024,Frauen sind nur dumme wertlose Gegenstände die zur befriedigung dienen!!,False,True,False,False,False,False
10025,"Sollen sie doch alle im Mittelmeer ertrinken. Menschen, die diese Überfahrten auch noch unterstützen, gehören aufgehangen.",False,True,False,False,True,True
10026,Entweder die benehmen sich vernünftig und passen sich an oder sie sollen verschwinden. ,False,True,False,False,False,False
10027,Verpisst euch in euer eigenes Land und hört auf Deutschland mit eurer Anwesenheit zu verschmutzen. Dreckiges Volk. Notfalls helfen wir nach. Ich hab noch ein paar Handgranaten im Keller. ,False,True,False,False,False,True
10028,Hitler wusste noch wie man eine Gesellschaft arbeitsfähig hält. Alles was nicht in der Lage ist sich anzustrengen gehört in die Gaskammer.,False,True,False,False,False,True
10029,"Wird Zeit, dass die Konzentrationslager wieder aufgebaut werden, damit dieses unwerte Leben (Schwuchteln, Behinderte, Flüchtlinge) abgeschlachtet wird!!!!",False,True,False,False,False,True
10030,"früher hat sich das ganze mit den juden von selbst geregelt, sperrt sie wieder ein!!",True,True,True,False,False,True
10031,Die scheiß Juden sollen ihr Leben doch wieder in vollen Zügen genießen!,True,True,True,False,False,True
10032,Muslime sind alles Vergewaltiger! Schützt unsere schönen deutschen Frauen! ,False,True,True,False,False,False
10033,Mohammed war ein hurensohn ,False,False,True,False,False,False
10034,Die beschissenen Flüchtlinge sollen im Mittelmeer absaufen!,False,True,False,False,False,False
10035,Flüchtlinge? Wovor sind die geflohen? Vor ihrer eigenen Rasse! ,False,True,False,False,False,False
10036,Araber sind die misslungene Mischung zwischen Weißen und Schwarzen!,False,True,True,False,False,False
10037,Stecht Löcher in die Schlauchboote und ersauft alle im Mittelmeer ihr behinderten Flüchtlinge!,True,True,True,False,False,True
10038,Lasst die scheiß Flüchtlinge doch alle ersaufen!,False,True,False,False,False,True
10039,Die widerlichen Flüchtlinge bringen doch nur Ebola und Aids! Sollen die doch lieber Ersaufen! ,False,True,False,False,False,False
10040,Die scheiß Schlitzaugen sind überall! ,False,True,True,False,False,False
10041,Wenn ich die widerlich stinkenden assi Asiaten seh könnte ich kotzen! ,False,True,True,False,False,False
10042,Schlitzaugen stinken. ,False,True,True,False,False,False
10043,die depressiven sind doch einfach nur schmarotzende Faulenzer,False,True,False,False,False,False
10044,veganer sollen an ihren kräutern ersticken #oregayes,False,True,False,False,False,False
10045,die linken Hurensöhne! Ballert die alle ab!,False,True,False,False,False,True
10046,Ich wichs auf eure toten Körper ihr scheiß Juden! ,False,True,True,False,False,False
10047,Menschen mit Tourette gehören in den Keller gesperrt! ,False,True,False,False,False,True
10048,Abtreibungsärztinnen nach Afrika schicken! Dann gibt es weniger Flüchtlinge!! ,False,True,False,False,False,False
10049,Die Schlepper sollen alle ersaufen!,False,True,False,False,False,True
10050,Frauen sind der dreckige Rest den Gott nie so gewollt hat! Alles Missgeburten!,False,True,False,False,False,False
10051,"Die Frau ist selbst Schuld, wenn sie eine Fehlgeburt kriegt!",False,False,False,False,False,False
10052,Die ollen Fotzen sollen alle in der Hölle schmoren!,False,True,False,False,False,False
10053,"Jede Frau, die keine Burka trägt sollte vergewaltigt werden.",False,True,False,False,False,True
10054,Loch ist Loch! Ist mir doch egal was da dran hängt! #scheißfrauen,False,True,False,False,False,False
10055,"Nachdem eine Frau geworfen hat, ist sie doch eh nur noch Müll! #wegdamit",False,False,False,False,False,True
10056,Geschlechtsumwandlung?! Ich komm mit der Schere ihr scheiß Schwanzlutscher! ,False,True,False,False,False,False
10057,Lesben müssen doch nur alle mal gut durchgefickt werden.,False,True,False,False,False,True
10058,Vergewaltigt die scheiß Feministinnen! Fette Schwänze zerstören trockene Fotzen. ,False,True,False,False,False,True
10059,Die scheiß Schmarotzer Assis! Die sollen anstatt Müll mal sich selbst auf die Autobahn schmeißen.,False,True,False,False,False,False
10060,Alle Flüchtlinge sollen sterben.,False,True,False,False,False,True
10061,Flüchltlingsheime sind scheiß Rattenlöcher! Alle anzünden! ,False,True,False,False,False,True
10062,Die scheiß Araber nehmen unser Geld und vergewaltigen unsere Frauen!,True,True,True,False,True,False
10063,Wir brauchen endlich eine Festung Europa! ,False,False,False,False,False,False
10064,"Heil Hitler! Früher war alles besser! Wenn Addi wieder an der Macht wär, wären wir alle wieder sicher!",False,False,False,False,False,False
10065,Linke Politiker sollen alle erschossen werden! ,False,True,False,False,False,True
10066,Organisiert mehr Ehrungen für unsere deutschen Helden! #NSU,False,False,False,False,False,False
10067,Wir wollen den totalen Krieg!,False,False,False,False,False,False
10068,Ehre und Ruhm für alle die Juden erschießen. ,True,True,True,False,False,True
10069,"Man sollte die ganzen Juden vergasen, die wollen doch nur dein Geld.",True,True,True,False,False,True
10070,Diese bärtigen Muslime sind alles Terroristen.,False,True,True,False,False,False
10071,Dreckige Kopftuch Mädchen sollen sich verpissen.,False,True,True,False,False,False
10072,"Scheiß Flüchtlinge, dass sind doch alles Verbrecher!",False,True,False,False,False,False
10073,"Diese Messer-Epidemie ist zum Kotzen. Seit die Flüchtlinge hier sind, lebt man nicht mehr sicher.",False,True,False,False,True,False
10074,Die Negger klauen uns die Frauen.,False,True,False,False,False,False
10075,Diese Kümmeltürken fressen den ganzen Tag nur Kümmel und Knoblauch.,False,True,True,False,False,False
10076,"Burkas, Kopftuchmädchen und alimentierte Messermänner und sonstige Taugenichtse werden unseren Wohlstand, das Wirtschaftswachstum und vor allem den Sozialstaat nicht sichern.",False,True,False,False,False,False
10077,Drecks Hartzer sitzen den ganzen Tag nur faul auf ihrem Arsch.,False,True,False,False,False,False
10078,Arschfickende Schwuchteln sollte man kastrieren und wegsperren.,False,True,False,False,False,True
10079,Links-Grün versiffte Wichser sollte man erschießen.,False,True,False,False,False,True
10080,Die 175er sollte man alle wieder in Lager sperren!,False,True,False,False,False,True
10081,Zurück in die Gaskammern mit den dreckigen Juden.,True,True,True,False,False,True
10082,Das ganze Schmarotzer Gesocks sollte man wieder in Arbeitslager sperren und schuften lassen!,False,True,False,False,False,True
10083,"Nicht die Juden gehören umgebracht, sondern die ganzen Moslems.",True,True,True,False,False,True
10084,Der Islam gehört verboten und alle Anhänger sollte man erschießen. ,True,True,True,False,False,True
10085,"Die Juden unterwandern unser Vaterland, wir brauchen einen neuen Führer der die alle ausrottet, ",True,True,True,False,True,False
10086,"Alle Priester gehören verbrannt, dieser pädophile Haufen!",False,True,False,False,False,True
10087,Die angeblichen Flüchtlinge aus Afrika sollte man im Meer versenken und nicht rausfischen. ,True,True,True,False,False,True
